------------------------------------------------------------
Client connecting to 192.168.10.100, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.10.10 port 34670 connected with 192.168.10.100 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  43.9 MBytes   368 Mbits/sec
[  1] 1.0000-2.0000 sec  42.2 MBytes   354 Mbits/sec
[  1] 2.0000-3.0000 sec  41.0 MBytes   344 Mbits/sec
[  1] 3.0000-4.0000 sec  42.5 MBytes   357 Mbits/sec
[  1] 4.0000-5.0000 sec  43.5 MBytes   365 Mbits/sec
[  1] 5.0000-6.0000 sec  46.1 MBytes   387 Mbits/sec
[  1] 6.0000-7.0000 sec  42.9 MBytes   360 Mbits/sec
[  1] 7.0000-8.0000 sec  43.2 MBytes   363 Mbits/sec
[  1] 8.0000-9.0000 sec  44.4 MBytes   372 Mbits/sec
[  1] 9.0000-10.0000 sec  45.4 MBytes   381 Mbits/sec
[  1] 10.0000-11.0000 sec  45.9 MBytes   385 Mbits/sec
[  1] 11.0000-12.0000 sec  41.8 MBytes   350 Mbits/sec
[  1] 12.0000-13.0000 sec  45.6 MBytes   383 Mbits/sec
[  1] 13.0000-14.0000 sec  41.8 MBytes   350 Mbits/sec
[  1] 14.0000-15.0000 sec  41.1 MBytes   345 Mbits/sec
[  1] 15.0000-16.0000 sec  41.5 MBytes   348 Mbits/sec
[  1] 16.0000-17.0000 sec  43.5 MBytes   365 Mbits/sec
[  1] 17.0000-18.0000 sec  42.4 MBytes   355 Mbits/sec
[  1] 18.0000-19.0000 sec  45.9 MBytes   385 Mbits/sec
[  1] 19.0000-20.0000 sec  46.4 MBytes   389 Mbits/sec
[  1] 20.0000-21.0000 sec  40.2 MBytes   338 Mbits/sec
[  1] 21.0000-22.0000 sec  43.4 MBytes   364 Mbits/sec
[  1] 22.0000-23.0000 sec  45.1 MBytes   379 Mbits/sec
[  1] 23.0000-24.0000 sec  39.5 MBytes   331 Mbits/sec
[  1] 24.0000-25.0000 sec  43.4 MBytes   364 Mbits/sec
[  1] 25.0000-26.0000 sec  41.0 MBytes   344 Mbits/sec
[  1] 26.0000-27.0000 sec  43.8 MBytes   367 Mbits/sec
[  1] 27.0000-28.0000 sec  41.1 MBytes   345 Mbits/sec
[  1] 28.0000-29.0000 sec  43.4 MBytes   364 Mbits/sec
[  1] 29.0000-30.0000 sec  41.1 MBytes   345 Mbits/sec
[  1] 30.0000-31.0000 sec  43.9 MBytes   368 Mbits/sec
[  1] 31.0000-32.0000 sec  41.1 MBytes   345 Mbits/sec
[  1] 32.0000-33.0000 sec  45.6 MBytes   383 Mbits/sec
[  1] 33.0000-34.0000 sec  47.0 MBytes   394 Mbits/sec
[  1] 34.0000-35.0000 sec  45.6 MBytes   383 Mbits/sec
[  1] 35.0000-36.0000 sec  44.6 MBytes   374 Mbits/sec
[  1] 36.0000-37.0000 sec  45.2 MBytes   380 Mbits/sec
[  1] 37.0000-38.0000 sec  44.4 MBytes   372 Mbits/sec
[  1] 38.0000-39.0000 sec  46.0 MBytes   386 Mbits/sec
[  1] 39.0000-40.0000 sec  46.0 MBytes   386 Mbits/sec
[  1] 40.0000-41.0000 sec  47.4 MBytes   397 Mbits/sec
[  1] 41.0000-42.0000 sec  43.9 MBytes   368 Mbits/sec
[  1] 42.0000-43.0000 sec  47.4 MBytes   397 Mbits/sec
[  1] 43.0000-44.0000 sec  45.8 MBytes   384 Mbits/sec
[  1] 44.0000-45.0000 sec  46.4 MBytes   389 Mbits/sec
[  1] 45.0000-46.0000 sec  46.0 MBytes   386 Mbits/sec
[  1] 46.0000-47.0000 sec  45.8 MBytes   384 Mbits/sec
[  1] 47.0000-48.0000 sec  45.5 MBytes   382 Mbits/sec
[  1] 48.0000-49.0000 sec  47.5 MBytes   398 Mbits/sec
[  1] 49.0000-50.0000 sec  44.5 MBytes   373 Mbits/sec
[  1] 50.0000-51.0000 sec  46.4 MBytes   389 Mbits/sec
[  1] 51.0000-52.0000 sec  47.4 MBytes   397 Mbits/sec
[  1] 52.0000-53.0000 sec  43.5 MBytes   365 Mbits/sec
[  1] 53.0000-54.0000 sec  48.8 MBytes   409 Mbits/sec
[  1] 54.0000-55.0000 sec  44.0 MBytes   369 Mbits/sec
[  1] 55.0000-56.0000 sec  46.5 MBytes   390 Mbits/sec
[  1] 56.0000-57.0000 sec  45.2 MBytes   380 Mbits/sec
[  1] 57.0000-58.0000 sec  46.8 MBytes   392 Mbits/sec
[  1] 58.0000-59.0000 sec  46.9 MBytes   393 Mbits/sec
[  1] 59.0000-60.0000 sec  46.2 MBytes   388 Mbits/sec
[  1] 60.0000-61.0000 sec  45.9 MBytes   385 Mbits/sec
[  1] 61.0000-62.0000 sec  44.8 MBytes   375 Mbits/sec
[  1] 62.0000-63.0000 sec  47.5 MBytes   398 Mbits/sec
[  1] 63.0000-64.0000 sec  43.2 MBytes   363 Mbits/sec
[  1] 64.0000-65.0000 sec  46.9 MBytes   393 Mbits/sec
[  1] 65.0000-66.0000 sec  47.0 MBytes   394 Mbits/sec
[  1] 66.0000-67.0000 sec  44.4 MBytes   372 Mbits/sec
[  1] 67.0000-68.0000 sec  46.6 MBytes   391 Mbits/sec
[  1] 68.0000-69.0000 sec  45.6 MBytes   383 Mbits/sec
[  1] 69.0000-70.0000 sec  47.0 MBytes   394 Mbits/sec
[  1] 70.0000-71.0000 sec  46.5 MBytes   390 Mbits/sec
[  1] 71.0000-72.0000 sec  44.5 MBytes   373 Mbits/sec
[  1] 72.0000-73.0000 sec  46.8 MBytes   392 Mbits/sec
[  1] 73.0000-74.0000 sec  46.6 MBytes   391 Mbits/sec
[  1] 74.0000-75.0000 sec  43.5 MBytes   365 Mbits/sec
[  1] 75.0000-76.0000 sec  46.1 MBytes   387 Mbits/sec
[  1] 76.0000-77.0000 sec  47.0 MBytes   394 Mbits/sec
[  1] 77.0000-78.0000 sec  44.5 MBytes   373 Mbits/sec
[  1] 78.0000-79.0000 sec  45.8 MBytes   384 Mbits/sec
[  1] 79.0000-80.0000 sec  45.4 MBytes   381 Mbits/sec
[  1] 80.0000-81.0000 sec  27.4 MBytes   230 Mbits/sec
[  1] 81.0000-82.0000 sec   166 KBytes  1.36 Mbits/sec
[  1] 82.0000-83.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 83.0000-84.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 84.0000-85.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 85.0000-86.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 86.0000-87.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 87.0000-88.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 88.0000-89.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 89.0000-90.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 90.0000-91.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 91.0000-92.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 92.0000-93.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 93.0000-94.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 94.0000-95.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 95.0000-96.0000 sec  38.2 MBytes   321 Mbits/sec
[  1] 96.0000-97.0000 sec  46.0 MBytes   386 Mbits/sec
[  1] 97.0000-98.0000 sec  44.2 MBytes   371 Mbits/sec
[  1] 98.0000-99.0000 sec  46.9 MBytes   393 Mbits/sec
[  1] 99.0000-100.0000 sec  44.5 MBytes   373 Mbits/sec
[  1] 100.0000-101.0000 sec  47.0 MBytes   394 Mbits/sec
[  1] 101.0000-102.0000 sec  44.9 MBytes   376 Mbits/sec
[  1] 102.0000-103.0000 sec  45.9 MBytes   385 Mbits/sec
[  1] 103.0000-104.0000 sec  44.8 MBytes   375 Mbits/sec
[  1] 104.0000-105.0000 sec  45.1 MBytes   379 Mbits/sec
[  1] 105.0000-106.0000 sec  46.6 MBytes   391 Mbits/sec
[  1] 106.0000-107.0000 sec  47.2 MBytes   396 Mbits/sec
[  1] 107.0000-108.0000 sec  44.4 MBytes   372 Mbits/sec
[  1] 108.0000-109.0000 sec  45.9 MBytes   385 Mbits/sec
[  1] 109.0000-110.0000 sec  46.5 MBytes   390 Mbits/sec
[  1] 110.0000-111.0000 sec  45.4 MBytes   381 Mbits/sec
[  1] 111.0000-112.0000 sec  46.4 MBytes   389 Mbits/sec
[  1] 112.0000-113.0000 sec  43.5 MBytes   365 Mbits/sec
[  1] 113.0000-114.0000 sec  49.4 MBytes   414 Mbits/sec
[  1] 114.0000-115.0000 sec  43.9 MBytes   368 Mbits/sec
[  1] 115.0000-116.0000 sec  44.9 MBytes   376 Mbits/sec
[  1] 116.0000-117.0000 sec  47.4 MBytes   397 Mbits/sec
[  1] 117.0000-118.0000 sec  44.2 MBytes   371 Mbits/sec
[  1] 118.0000-119.0000 sec  46.8 MBytes   392 Mbits/sec
[  1] 119.0000-120.0000 sec  45.9 MBytes   385 Mbits/sec
[  1] 0.0000-120.1213 sec  4.63 GBytes   331 Mbits/sec
