PING 192.168.10.100 (192.168.10.100) 56(84) bytes of data.
64 bytes from 192.168.10.100: icmp_seq=95 ttl=64 time=0.222 ms
64 bytes from 192.168.10.100: icmp_seq=96 ttl=64 time=0.229 ms
64 bytes from 192.168.10.100: icmp_seq=97 ttl=64 time=0.227 ms
64 bytes from 192.168.10.100: icmp_seq=98 ttl=64 time=0.148 ms
64 bytes from 192.168.10.100: icmp_seq=99 ttl=64 time=0.187 ms
64 bytes from 192.168.10.100: icmp_seq=100 ttl=64 time=0.201 ms
64 bytes from 192.168.10.100: icmp_seq=101 ttl=64 time=0.247 ms
64 bytes from 192.168.10.100: icmp_seq=102 ttl=64 time=0.226 ms
64 bytes from 192.168.10.100: icmp_seq=103 ttl=64 time=0.227 ms
64 bytes from 192.168.10.100: icmp_seq=104 ttl=64 time=0.219 ms
64 bytes from 192.168.10.100: icmp_seq=105 ttl=64 time=0.233 ms
64 bytes from 192.168.10.100: icmp_seq=106 ttl=64 time=0.222 ms
64 bytes from 192.168.10.100: icmp_seq=107 ttl=64 time=0.226 ms
64 bytes from 192.168.10.100: icmp_seq=108 ttl=64 time=0.243 ms
64 bytes from 192.168.10.100: icmp_seq=109 ttl=64 time=0.244 ms
64 bytes from 192.168.10.100: icmp_seq=110 ttl=64 time=0.345 ms
64 bytes from 192.168.10.100: icmp_seq=111 ttl=64 time=0.307 ms
64 bytes from 192.168.10.100: icmp_seq=112 ttl=64 time=0.223 ms
64 bytes from 192.168.10.100: icmp_seq=113 ttl=64 time=0.236 ms
64 bytes from 192.168.10.100: icmp_seq=114 ttl=64 time=0.280 ms
64 bytes from 192.168.10.100: icmp_seq=115 ttl=64 time=0.224 ms
64 bytes from 192.168.10.100: icmp_seq=116 ttl=64 time=0.218 ms
64 bytes from 192.168.10.100: icmp_seq=117 ttl=64 time=0.236 ms
64 bytes from 192.168.10.100: icmp_seq=118 ttl=64 time=0.243 ms
64 bytes from 192.168.10.100: icmp_seq=119 ttl=64 time=0.235 ms
64 bytes from 192.168.10.100: icmp_seq=120 ttl=64 time=0.243 ms

--- 192.168.10.100 ping statistics ---
120 packets transmitted, 107 received, 10.8333% packet loss, time 121785ms
rtt min/avg/max/mdev = 0.147/0.274/3.292/0.400 ms
