------------------------------------------------------------
Client connecting to 192.168.10.100, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.10.10 port 54296 connected with 192.168.10.100 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 23.0000-24.0000 sec  66.5 MBytes   558 Mbits/sec
[  1] 24.0000-25.0000 sec  67.9 MBytes   569 Mbits/sec
[  1] 25.0000-26.0000 sec  70.0 MBytes   587 Mbits/sec
[  1] 26.0000-27.0000 sec  65.8 MBytes   552 Mbits/sec
[  1] 27.0000-28.0000 sec  67.1 MBytes   563 Mbits/sec
[  1] 28.0000-29.0000 sec  67.8 MBytes   568 Mbits/sec
[  1] 29.0000-30.0000 sec  73.9 MBytes   620 Mbits/sec
[  1] 30.0000-31.0000 sec  65.4 MBytes   548 Mbits/sec
[  1] 31.0000-32.0000 sec  67.0 MBytes   562 Mbits/sec
[  1] 32.0000-33.0000 sec  71.1 MBytes   597 Mbits/sec
[  1] 33.0000-34.0000 sec  65.0 MBytes   545 Mbits/sec
[  1] 34.0000-35.0000 sec  71.4 MBytes   599 Mbits/sec
[  1] 35.0000-36.0000 sec  66.9 MBytes   561 Mbits/sec
[  1] 36.0000-37.0000 sec  65.1 MBytes   546 Mbits/sec
[  1] 37.0000-38.0000 sec  71.5 MBytes   600 Mbits/sec
[  1] 38.0000-39.0000 sec  69.1 MBytes   580 Mbits/sec
[  1] 39.0000-40.0000 sec  68.9 MBytes   578 Mbits/sec
[  1] 40.0000-41.0000 sec  70.2 MBytes   589 Mbits/sec
[  1] 41.0000-42.0000 sec  68.6 MBytes   576 Mbits/sec
[  1] 42.0000-43.0000 sec  68.2 MBytes   573 Mbits/sec
[  1] 43.0000-44.0000 sec  65.5 MBytes   549 Mbits/sec
[  1] 44.0000-45.0000 sec  66.4 MBytes   557 Mbits/sec
[  1] 45.0000-46.0000 sec  67.5 MBytes   566 Mbits/sec
[  1] 46.0000-47.0000 sec  71.5 MBytes   600 Mbits/sec
[  1] 47.0000-48.0000 sec  67.2 MBytes   564 Mbits/sec
[  1] 48.0000-49.0000 sec  67.8 MBytes   568 Mbits/sec
[  1] 49.0000-50.0000 sec  70.9 MBytes   595 Mbits/sec
[  1] 50.0000-51.0000 sec  65.4 MBytes   548 Mbits/sec
[  1] 51.0000-52.0000 sec  72.6 MBytes   609 Mbits/sec
[  1] 52.0000-53.0000 sec  64.0 MBytes   537 Mbits/sec
[  1] 53.0000-54.0000 sec  72.6 MBytes   609 Mbits/sec
[  1] 54.0000-55.0000 sec  65.1 MBytes   546 Mbits/sec
[  1] 55.0000-56.0000 sec  70.0 MBytes   587 Mbits/sec
[  1] 56.0000-57.0000 sec  66.1 MBytes   555 Mbits/sec
[  1] 57.0000-58.0000 sec  65.4 MBytes   548 Mbits/sec
[  1] 58.0000-59.0000 sec  66.8 MBytes   560 Mbits/sec
[  1] 59.0000-60.0000 sec  68.4 MBytes   574 Mbits/sec
[  1] 60.0000-61.0000 sec  67.2 MBytes   564 Mbits/sec
[  1] 61.0000-62.0000 sec  67.9 MBytes   569 Mbits/sec
[  1] 62.0000-63.0000 sec  72.1 MBytes   605 Mbits/sec
[  1] 63.0000-64.0000 sec  68.4 MBytes   574 Mbits/sec
[  1] 64.0000-65.0000 sec  67.4 MBytes   565 Mbits/sec
[  1] 65.0000-66.0000 sec  62.8 MBytes   526 Mbits/sec
[  1] 66.0000-67.0000 sec  69.0 MBytes   579 Mbits/sec
[  1] 67.0000-68.0000 sec  64.9 MBytes   544 Mbits/sec
[  1] 68.0000-69.0000 sec  66.1 MBytes   555 Mbits/sec
[  1] 69.0000-70.0000 sec  69.4 MBytes   582 Mbits/sec
[  1] 70.0000-71.0000 sec  73.0 MBytes   612 Mbits/sec
[  1] 71.0000-72.0000 sec  61.8 MBytes   518 Mbits/sec
[  1] 72.0000-73.0000 sec  72.0 MBytes   604 Mbits/sec
[  1] 73.0000-74.0000 sec  67.6 MBytes   567 Mbits/sec
[  1] 74.0000-75.0000 sec  67.0 MBytes   562 Mbits/sec
[  1] 75.0000-76.0000 sec  63.5 MBytes   533 Mbits/sec
[  1] 76.0000-77.0000 sec  71.6 MBytes   601 Mbits/sec
[  1] 77.0000-78.0000 sec  66.8 MBytes   560 Mbits/sec
[  1] 78.0000-79.0000 sec  3.44 MBytes  28.9 Mbits/sec
[  1] 79.0000-80.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 80.0000-81.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 81.0000-82.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 82.0000-83.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 83.0000-84.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 84.0000-85.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 85.0000-86.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 86.0000-87.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 87.0000-88.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 88.0000-89.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 89.0000-90.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 90.0000-91.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 91.0000-92.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 92.0000-93.0000 sec   127 KBytes  1.04 Mbits/sec
[  1] 93.0000-94.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 94.0000-95.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 95.0000-96.0000 sec  66.1 MBytes   555 Mbits/sec
[  1] 96.0000-97.0000 sec  76.8 MBytes   644 Mbits/sec
[  1] 97.0000-98.0000 sec  73.4 MBytes   616 Mbits/sec
[  1] 98.0000-99.0000 sec  73.6 MBytes   618 Mbits/sec
[  1] 99.0000-100.0000 sec  79.1 MBytes   664 Mbits/sec
[  1] 100.0000-101.0000 sec  74.1 MBytes   622 Mbits/sec
[  1] 101.0000-102.0000 sec  76.8 MBytes   644 Mbits/sec
[  1] 102.0000-103.0000 sec  72.4 MBytes   607 Mbits/sec
[  1] 103.0000-104.0000 sec  73.5 MBytes   617 Mbits/sec
[  1] 104.0000-105.0000 sec  76.4 MBytes   641 Mbits/sec
[  1] 105.0000-106.0000 sec  70.4 MBytes   590 Mbits/sec
[  1] 106.0000-107.0000 sec  75.8 MBytes   635 Mbits/sec
[  1] 107.0000-108.0000 sec  78.8 MBytes   661 Mbits/sec
[  1] 108.0000-109.0000 sec  75.6 MBytes   634 Mbits/sec
[  1] 109.0000-110.0000 sec  75.6 MBytes   634 Mbits/sec
[  1] 110.0000-111.0000 sec  68.6 MBytes   576 Mbits/sec
[  1] 111.0000-112.0000 sec  78.6 MBytes   660 Mbits/sec
[  1] 112.0000-113.0000 sec  78.2 MBytes   656 Mbits/sec
[  1] 113.0000-114.0000 sec  72.4 MBytes   607 Mbits/sec
[  1] 114.0000-115.0000 sec  76.9 MBytes   645 Mbits/sec
[  1] 115.0000-116.0000 sec  75.2 MBytes   631 Mbits/sec
[  1] 116.0000-117.0000 sec  77.9 MBytes   653 Mbits/sec
[  1] 117.0000-118.0000 sec  76.8 MBytes   644 Mbits/sec
[  1] 118.0000-119.0000 sec  77.8 MBytes   652 Mbits/sec
[  1] 119.0000-120.0000 sec  80.1 MBytes   672 Mbits/sec
[  1] 0.0000-120.1627 sec  7.03 GBytes   503 Mbits/sec
