------------------------------------------------------------
Client connecting to 192.168.10.100, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.10.10 port 54296 connected with 192.168.10.100 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  82.4 MBytes   691 Mbits/sec
[  1] 1.0000-2.0000 sec  67.8 MBytes   568 Mbits/sec
[  1] 2.0000-3.0000 sec  68.1 MBytes   571 Mbits/sec
[  1] 3.0000-4.0000 sec  68.1 MBytes   571 Mbits/sec
[  1] 4.0000-5.0000 sec  65.1 MBytes   546 Mbits/sec
[  1] 5.0000-6.0000 sec  71.9 MBytes   603 Mbits/sec
[  1] 6.0000-7.0000 sec  67.4 MBytes   565 Mbits/sec
[  1] 7.0000-8.0000 sec  63.2 MBytes   531 Mbits/sec
[  1] 8.0000-9.0000 sec  67.8 MBytes   568 Mbits/sec
[  1] 9.0000-10.0000 sec  71.4 MBytes   599 Mbits/sec
[  1] 10.0000-11.0000 sec  66.9 MBytes   561 Mbits/sec
[  1] 11.0000-12.0000 sec  71.0 MBytes   596 Mbits/sec
[  1] 12.0000-13.0000 sec  66.4 MBytes   557 Mbits/sec
[  1] 13.0000-14.0000 sec  65.5 MBytes   549 Mbits/sec
[  1] 14.0000-15.0000 sec  65.4 MBytes   548 Mbits/sec
[  1] 15.0000-16.0000 sec  73.1 MBytes   613 Mbits/sec
[  1] 16.0000-17.0000 sec  68.4 MBytes   574 Mbits/sec
[  1] 17.0000-18.0000 sec  65.8 MBytes   552 Mbits/sec
[  1] 18.0000-19.0000 sec  68.1 MBytes   571 Mbits/sec
[  1] 19.0000-20.0000 sec  64.9 MBytes   544 Mbits/sec
[  1] 20.0000-21.0000 sec  66.2 MBytes   556 Mbits/sec
[  1] 21.0000-22.0000 sec  71.4 MBytes   599 Mbits/sec
[  1] 22.0000-23.0000 sec  70.0 MBytes   587 Mbits/sec
