------------------------------------------------------------
Client connecting to 192.168.10.100, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.10.10 port 60126 connected with 192.168.10.100 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 44.0000-45.0000 sec  97.1 MBytes   815 Mbits/sec
[  1] 45.0000-46.0000 sec  95.8 MBytes   803 Mbits/sec
[  1] 46.0000-47.0000 sec  97.5 MBytes   818 Mbits/sec
[  1] 47.0000-48.0000 sec  96.1 MBytes   806 Mbits/sec
[  1] 48.0000-49.0000 sec  99.8 MBytes   837 Mbits/sec
[  1] 49.0000-50.0000 sec  93.2 MBytes   782 Mbits/sec
[  1] 50.0000-51.0000 sec  96.4 MBytes   808 Mbits/sec
[  1] 51.0000-52.0000 sec  97.2 MBytes   816 Mbits/sec
[  1] 52.0000-53.0000 sec  95.6 MBytes   802 Mbits/sec
[  1] 53.0000-54.0000 sec  99.6 MBytes   836 Mbits/sec
[  1] 54.0000-55.0000 sec   100 MBytes   840 Mbits/sec
[  1] 55.0000-56.0000 sec  96.4 MBytes   808 Mbits/sec
[  1] 56.0000-57.0000 sec  96.1 MBytes   806 Mbits/sec
[  1] 57.0000-58.0000 sec  96.1 MBytes   806 Mbits/sec
[  1] 58.0000-59.0000 sec  99.0 MBytes   830 Mbits/sec
[  1] 59.0000-60.0000 sec  99.0 MBytes   830 Mbits/sec
[  1] 60.0000-61.0000 sec  98.6 MBytes   827 Mbits/sec
[  1] 61.0000-62.0000 sec  99.2 MBytes   833 Mbits/sec
[  1] 62.0000-63.0000 sec  95.8 MBytes   803 Mbits/sec
[  1] 63.0000-64.0000 sec  98.9 MBytes   829 Mbits/sec
[  1] 64.0000-65.0000 sec  99.1 MBytes   832 Mbits/sec
[  1] 65.0000-66.0000 sec  96.8 MBytes   812 Mbits/sec
[  1] 66.0000-67.0000 sec  96.6 MBytes   811 Mbits/sec
[  1] 67.0000-68.0000 sec  96.9 MBytes   813 Mbits/sec
[  1] 68.0000-69.0000 sec  95.6 MBytes   802 Mbits/sec
[  1] 69.0000-70.0000 sec  98.0 MBytes   822 Mbits/sec
[  1] 70.0000-71.0000 sec   102 MBytes   851 Mbits/sec
[  1] 71.0000-72.0000 sec  99.5 MBytes   835 Mbits/sec
[  1] 72.0000-73.0000 sec  95.5 MBytes   801 Mbits/sec
[  1] 73.0000-74.0000 sec  98.8 MBytes   828 Mbits/sec
[  1] 74.0000-75.0000 sec  96.5 MBytes   810 Mbits/sec
[  1] 75.0000-76.0000 sec  94.2 MBytes   791 Mbits/sec
[  1] 76.0000-77.0000 sec  97.1 MBytes   815 Mbits/sec
[  1] 77.0000-78.0000 sec  60.2 MBytes   505 Mbits/sec
[  1] 78.0000-79.0000 sec  1.88 MBytes  15.8 Mbits/sec
[  1] 79.0000-80.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 80.0000-81.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 81.0000-82.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 82.0000-83.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 83.0000-84.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 84.0000-85.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 85.0000-86.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 86.0000-87.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 87.0000-88.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 88.0000-89.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 89.0000-90.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 90.0000-91.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 91.0000-92.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 92.0000-93.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 93.0000-94.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 94.0000-95.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 95.0000-96.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 96.0000-97.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 97.0000-98.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 98.0000-99.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 99.0000-100.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 100.0000-101.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 101.0000-102.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 102.0000-103.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 103.0000-104.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 104.0000-105.0000 sec  8.88 MBytes  74.4 Mbits/sec
[  1] 105.0000-106.0000 sec  96.0 MBytes   805 Mbits/sec
[  1] 106.0000-107.0000 sec  93.5 MBytes   784 Mbits/sec
[  1] 107.0000-108.0000 sec  96.1 MBytes   806 Mbits/sec
[  1] 108.0000-109.0000 sec  96.5 MBytes   810 Mbits/sec
[  1] 109.0000-110.0000 sec  95.9 MBytes   804 Mbits/sec
[  1] 110.0000-111.0000 sec  97.0 MBytes   814 Mbits/sec
[  1] 111.0000-112.0000 sec  95.9 MBytes   804 Mbits/sec
[  1] 112.0000-113.0000 sec  96.4 MBytes   808 Mbits/sec
[  1] 113.0000-114.0000 sec  97.0 MBytes   814 Mbits/sec
[  1] 114.0000-115.0000 sec  96.2 MBytes   807 Mbits/sec
[  1] 115.0000-116.0000 sec  98.8 MBytes   828 Mbits/sec
[  1] 116.0000-117.0000 sec  98.8 MBytes   828 Mbits/sec
[  1] 117.0000-118.0000 sec   101 MBytes   844 Mbits/sec
[  1] 118.0000-119.0000 sec  98.9 MBytes   829 Mbits/sec
[  1] 119.0000-120.0000 sec  98.2 MBytes   824 Mbits/sec
[  1] 0.0000-120.0880 sec  8.81 GBytes   630 Mbits/sec
