------------------------------------------------------------
Client connecting to 192.168.10.100, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.10.10 port 60126 connected with 192.168.10.100 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec   105 MBytes   882 Mbits/sec
[  1] 1.0000-2.0000 sec  97.0 MBytes   814 Mbits/sec
[  1] 2.0000-3.0000 sec  94.2 MBytes   791 Mbits/sec
[  1] 3.0000-4.0000 sec  99.5 MBytes   835 Mbits/sec
[  1] 4.0000-5.0000 sec  96.6 MBytes   811 Mbits/sec
[  1] 5.0000-6.0000 sec  96.4 MBytes   808 Mbits/sec
[  1] 6.0000-7.0000 sec  99.5 MBytes   835 Mbits/sec
[  1] 7.0000-8.0000 sec  96.2 MBytes   807 Mbits/sec
[  1] 8.0000-9.0000 sec  96.6 MBytes   811 Mbits/sec
[  1] 9.0000-10.0000 sec  96.5 MBytes   810 Mbits/sec
[  1] 10.0000-11.0000 sec  99.1 MBytes   832 Mbits/sec
[  1] 11.0000-12.0000 sec  96.8 MBytes   812 Mbits/sec
[  1] 12.0000-13.0000 sec  96.4 MBytes   808 Mbits/sec
[  1] 13.0000-14.0000 sec  96.2 MBytes   807 Mbits/sec
[  1] 14.0000-15.0000 sec  99.4 MBytes   834 Mbits/sec
[  1] 15.0000-16.0000 sec  96.4 MBytes   808 Mbits/sec
[  1] 16.0000-17.0000 sec  96.5 MBytes   810 Mbits/sec
[  1] 17.0000-18.0000 sec  93.1 MBytes   781 Mbits/sec
[  1] 18.0000-19.0000 sec  99.6 MBytes   836 Mbits/sec
[  1] 19.0000-20.0000 sec  95.9 MBytes   804 Mbits/sec
[  1] 20.0000-21.0000 sec  99.5 MBytes   835 Mbits/sec
[  1] 21.0000-22.0000 sec  96.5 MBytes   810 Mbits/sec
[  1] 22.0000-23.0000 sec  99.1 MBytes   832 Mbits/sec
[  1] 23.0000-24.0000 sec  94.9 MBytes   796 Mbits/sec
[  1] 24.0000-25.0000 sec  96.9 MBytes   813 Mbits/sec
[  1] 25.0000-26.0000 sec  97.5 MBytes   818 Mbits/sec
[  1] 26.0000-27.0000 sec  97.6 MBytes   819 Mbits/sec
[  1] 27.0000-28.0000 sec  97.1 MBytes   815 Mbits/sec
[  1] 28.0000-29.0000 sec  96.5 MBytes   810 Mbits/sec
[  1] 29.0000-30.0000 sec  96.2 MBytes   807 Mbits/sec
[  1] 30.0000-31.0000 sec  99.2 MBytes   833 Mbits/sec
[  1] 31.0000-32.0000 sec  96.4 MBytes   808 Mbits/sec
[  1] 32.0000-33.0000 sec  96.8 MBytes   812 Mbits/sec
[  1] 33.0000-34.0000 sec  98.5 MBytes   826 Mbits/sec
[  1] 34.0000-35.0000 sec  96.2 MBytes   807 Mbits/sec
[  1] 35.0000-36.0000 sec  96.1 MBytes   806 Mbits/sec
[  1] 36.0000-37.0000 sec  96.6 MBytes   811 Mbits/sec
[  1] 37.0000-38.0000 sec  99.2 MBytes   833 Mbits/sec
[  1] 38.0000-39.0000 sec  99.0 MBytes   830 Mbits/sec
[  1] 39.0000-40.0000 sec  96.0 MBytes   805 Mbits/sec
[  1] 40.0000-41.0000 sec  97.2 MBytes   816 Mbits/sec
[  1] 41.0000-42.0000 sec  98.6 MBytes   827 Mbits/sec
[  1] 42.0000-43.0000 sec  96.4 MBytes   808 Mbits/sec
[  1] 43.0000-44.0000 sec  97.0 MBytes   814 Mbits/sec
