PING 192.168.10.100 (192.168.10.100) 56(84) bytes of data.
64 bytes from 192.168.10.100: icmp_seq=1 ttl=64 time=2.94 ms
64 bytes from 192.168.10.100: icmp_seq=2 ttl=64 time=0.685 ms
64 bytes from 192.168.10.100: icmp_seq=3 ttl=64 time=0.209 ms
64 bytes from 192.168.10.100: icmp_seq=4 ttl=64 time=0.109 ms
64 bytes from 192.168.10.100: icmp_seq=5 ttl=64 time=0.317 ms
64 bytes from 192.168.10.100: icmp_seq=6 ttl=64 time=0.266 ms
64 bytes from 192.168.10.100: icmp_seq=7 ttl=64 time=0.167 ms
64 bytes from 192.168.10.100: icmp_seq=8 ttl=64 time=0.112 ms
64 bytes from 192.168.10.100: icmp_seq=9 ttl=64 time=0.235 ms
64 bytes from 192.168.10.100: icmp_seq=10 ttl=64 time=0.110 ms
64 bytes from 192.168.10.100: icmp_seq=11 ttl=64 time=0.081 ms
64 bytes from 192.168.10.100: icmp_seq=12 ttl=64 time=0.383 ms
64 bytes from 192.168.10.100: icmp_seq=13 ttl=64 time=0.385 ms
64 bytes from 192.168.10.100: icmp_seq=14 ttl=64 time=0.370 ms
64 bytes from 192.168.10.100: icmp_seq=15 ttl=64 time=0.105 ms
64 bytes from 192.168.10.100: icmp_seq=16 ttl=64 time=0.374 ms
64 bytes from 192.168.10.100: icmp_seq=17 ttl=64 time=0.099 ms
64 bytes from 192.168.10.100: icmp_seq=18 ttl=64 time=0.088 ms
64 bytes from 192.168.10.100: icmp_seq=19 ttl=64 time=0.142 ms
64 bytes from 192.168.10.100: icmp_seq=20 ttl=64 time=0.291 ms
64 bytes from 192.168.10.100: icmp_seq=21 ttl=64 time=0.728 ms
64 bytes from 192.168.10.100: icmp_seq=22 ttl=64 time=0.104 ms
64 bytes from 192.168.10.100: icmp_seq=23 ttl=64 time=0.340 ms
64 bytes from 192.168.10.100: icmp_seq=24 ttl=64 time=0.139 ms
64 bytes from 192.168.10.100: icmp_seq=25 ttl=64 time=0.470 ms
64 bytes from 192.168.10.100: icmp_seq=26 ttl=64 time=0.099 ms
64 bytes from 192.168.10.100: icmp_seq=27 ttl=64 time=0.470 ms
64 bytes from 192.168.10.100: icmp_seq=28 ttl=64 time=0.381 ms
64 bytes from 192.168.10.100: icmp_seq=29 ttl=64 time=0.255 ms
64 bytes from 192.168.10.100: icmp_seq=30 ttl=64 time=0.295 ms
64 bytes from 192.168.10.100: icmp_seq=31 ttl=64 time=0.092 ms
64 bytes from 192.168.10.100: icmp_seq=32 ttl=64 time=0.260 ms
64 bytes from 192.168.10.100: icmp_seq=33 ttl=64 time=0.100 ms
64 bytes from 192.168.10.100: icmp_seq=34 ttl=64 time=0.091 ms
64 bytes from 192.168.10.100: icmp_seq=35 ttl=64 time=0.113 ms
64 bytes from 192.168.10.100: icmp_seq=36 ttl=64 time=0.315 ms
64 bytes from 192.168.10.100: icmp_seq=37 ttl=64 time=0.285 ms
64 bytes from 192.168.10.100: icmp_seq=38 ttl=64 time=0.128 ms
64 bytes from 192.168.10.100: icmp_seq=39 ttl=64 time=0.381 ms
64 bytes from 192.168.10.100: icmp_seq=40 ttl=64 time=0.109 ms
64 bytes from 192.168.10.100: icmp_seq=41 ttl=64 time=0.401 ms
64 bytes from 192.168.10.100: icmp_seq=42 ttl=64 time=0.155 ms
64 bytes from 192.168.10.100: icmp_seq=43 ttl=64 time=0.091 ms
64 bytes from 192.168.10.100: icmp_seq=44 ttl=64 time=0.177 ms
64 bytes from 192.168.10.100: icmp_seq=45 ttl=64 time=0.104 ms
64 bytes from 192.168.10.100: icmp_seq=46 ttl=64 time=0.263 ms
64 bytes from 192.168.10.100: icmp_seq=47 ttl=64 time=0.094 ms
64 bytes from 192.168.10.100: icmp_seq=48 ttl=64 time=0.523 ms
64 bytes from 192.168.10.100: icmp_seq=49 ttl=64 time=0.093 ms
