PING 192.168.10.100 (192.168.10.100) 56(84) bytes of data.
64 bytes from 192.168.10.100: icmp_seq=3 ttl=64 time=3.86 ms
64 bytes from 192.168.10.100: icmp_seq=4 ttl=64 time=0.606 ms
64 bytes from 192.168.10.100: icmp_seq=5 ttl=64 time=0.493 ms
64 bytes from 192.168.10.100: icmp_seq=6 ttl=64 time=0.100 ms
64 bytes from 192.168.10.100: icmp_seq=7 ttl=64 time=0.428 ms
64 bytes from 192.168.10.100: icmp_seq=8 ttl=64 time=0.183 ms
64 bytes from 192.168.10.100: icmp_seq=9 ttl=64 time=0.092 ms
64 bytes from 192.168.10.100: icmp_seq=10 ttl=64 time=0.107 ms
64 bytes from 192.168.10.100: icmp_seq=11 ttl=64 time=0.128 ms
64 bytes from 192.168.10.100: icmp_seq=12 ttl=64 time=0.133 ms
64 bytes from 192.168.10.100: icmp_seq=13 ttl=64 time=0.513 ms
64 bytes from 192.168.10.100: icmp_seq=14 ttl=64 time=0.371 ms
64 bytes from 192.168.10.100: icmp_seq=15 ttl=64 time=0.241 ms
64 bytes from 192.168.10.100: icmp_seq=16 ttl=64 time=0.569 ms
64 bytes from 192.168.10.100: icmp_seq=17 ttl=64 time=0.425 ms
64 bytes from 192.168.10.100: icmp_seq=18 ttl=64 time=0.223 ms
64 bytes from 192.168.10.100: icmp_seq=19 ttl=64 time=0.464 ms
64 bytes from 192.168.10.100: icmp_seq=20 ttl=64 time=0.121 ms
64 bytes from 192.168.10.100: icmp_seq=21 ttl=64 time=0.752 ms
64 bytes from 192.168.10.100: icmp_seq=22 ttl=64 time=0.271 ms
64 bytes from 192.168.10.100: icmp_seq=23 ttl=64 time=0.257 ms
64 bytes from 192.168.10.100: icmp_seq=24 ttl=64 time=0.096 ms
64 bytes from 192.168.10.100: icmp_seq=25 ttl=64 time=0.435 ms
64 bytes from 192.168.10.100: icmp_seq=26 ttl=64 time=0.111 ms
64 bytes from 192.168.10.100: icmp_seq=27 ttl=64 time=0.108 ms
64 bytes from 192.168.10.100: icmp_seq=28 ttl=64 time=0.107 ms
64 bytes from 192.168.10.100: icmp_seq=29 ttl=64 time=0.339 ms
64 bytes from 192.168.10.100: icmp_seq=30 ttl=64 time=0.235 ms
64 bytes from 192.168.10.100: icmp_seq=31 ttl=64 time=0.241 ms
64 bytes from 192.168.10.100: icmp_seq=32 ttl=64 time=0.421 ms
64 bytes from 192.168.10.100: icmp_seq=33 ttl=64 time=0.196 ms
64 bytes from 192.168.10.100: icmp_seq=34 ttl=64 time=0.467 ms
64 bytes from 192.168.10.100: icmp_seq=35 ttl=64 time=0.128 ms
64 bytes from 192.168.10.100: icmp_seq=36 ttl=64 time=0.087 ms
64 bytes from 192.168.10.100: icmp_seq=37 ttl=64 time=0.216 ms
64 bytes from 192.168.10.100: icmp_seq=38 ttl=64 time=0.101 ms
64 bytes from 192.168.10.100: icmp_seq=39 ttl=64 time=0.493 ms
64 bytes from 192.168.10.100: icmp_seq=40 ttl=64 time=0.121 ms
64 bytes from 192.168.10.100: icmp_seq=41 ttl=64 time=0.788 ms
64 bytes from 192.168.10.100: icmp_seq=42 ttl=64 time=0.437 ms
64 bytes from 192.168.10.100: icmp_seq=43 ttl=64 time=0.151 ms
64 bytes from 192.168.10.100: icmp_seq=44 ttl=64 time=0.189 ms
64 bytes from 192.168.10.100: icmp_seq=45 ttl=64 time=0.264 ms
64 bytes from 192.168.10.100: icmp_seq=46 ttl=64 time=0.287 ms
64 bytes from 192.168.10.100: icmp_seq=47 ttl=64 time=0.552 ms
64 bytes from 192.168.10.100: icmp_seq=48 ttl=64 time=0.445 ms
64 bytes from 192.168.10.100: icmp_seq=49 ttl=64 time=0.234 ms
