PING 192.168.10.100 (192.168.10.100) 56(84) bytes of data.
64 bytes from 192.168.10.100: icmp_seq=2 ttl=64 time=3.13 ms
64 bytes from 192.168.10.100: icmp_seq=3 ttl=64 time=0.560 ms
64 bytes from 192.168.10.100: icmp_seq=4 ttl=64 time=0.349 ms
64 bytes from 192.168.10.100: icmp_seq=5 ttl=64 time=0.645 ms
64 bytes from 192.168.10.100: icmp_seq=6 ttl=64 time=0.999 ms
64 bytes from 192.168.10.100: icmp_seq=7 ttl=64 time=0.866 ms
64 bytes from 192.168.10.100: icmp_seq=8 ttl=64 time=0.315 ms
64 bytes from 192.168.10.100: icmp_seq=9 ttl=64 time=0.218 ms
64 bytes from 192.168.10.100: icmp_seq=10 ttl=64 time=0.116 ms
64 bytes from 192.168.10.100: icmp_seq=11 ttl=64 time=0.233 ms
64 bytes from 192.168.10.100: icmp_seq=12 ttl=64 time=0.095 ms
64 bytes from 192.168.10.100: icmp_seq=13 ttl=64 time=0.294 ms
64 bytes from 192.168.10.100: icmp_seq=14 ttl=64 time=0.228 ms
64 bytes from 192.168.10.100: icmp_seq=15 ttl=64 time=0.492 ms
64 bytes from 192.168.10.100: icmp_seq=16 ttl=64 time=0.165 ms
64 bytes from 192.168.10.100: icmp_seq=17 ttl=64 time=0.272 ms
64 bytes from 192.168.10.100: icmp_seq=18 ttl=64 time=0.180 ms
64 bytes from 192.168.10.100: icmp_seq=19 ttl=64 time=0.228 ms
64 bytes from 192.168.10.100: icmp_seq=20 ttl=64 time=0.115 ms
64 bytes from 192.168.10.100: icmp_seq=21 ttl=64 time=0.142 ms
64 bytes from 192.168.10.100: icmp_seq=22 ttl=64 time=0.256 ms
64 bytes from 192.168.10.100: icmp_seq=23 ttl=64 time=0.305 ms
64 bytes from 192.168.10.100: icmp_seq=24 ttl=64 time=0.472 ms
64 bytes from 192.168.10.100: icmp_seq=25 ttl=64 time=0.117 ms
64 bytes from 192.168.10.100: icmp_seq=26 ttl=64 time=0.475 ms
64 bytes from 192.168.10.100: icmp_seq=27 ttl=64 time=0.322 ms
64 bytes from 192.168.10.100: icmp_seq=28 ttl=64 time=0.069 ms
64 bytes from 192.168.10.100: icmp_seq=29 ttl=64 time=0.324 ms
64 bytes from 192.168.10.100: icmp_seq=30 ttl=64 time=0.392 ms
64 bytes from 192.168.10.100: icmp_seq=31 ttl=64 time=0.828 ms
64 bytes from 192.168.10.100: icmp_seq=32 ttl=64 time=0.278 ms
64 bytes from 192.168.10.100: icmp_seq=33 ttl=64 time=0.279 ms
64 bytes from 192.168.10.100: icmp_seq=34 ttl=64 time=0.105 ms
64 bytes from 192.168.10.100: icmp_seq=35 ttl=64 time=0.109 ms
64 bytes from 192.168.10.100: icmp_seq=36 ttl=64 time=0.157 ms
64 bytes from 192.168.10.100: icmp_seq=37 ttl=64 time=0.095 ms
64 bytes from 192.168.10.100: icmp_seq=38 ttl=64 time=0.208 ms
64 bytes from 192.168.10.100: icmp_seq=39 ttl=64 time=0.221 ms
64 bytes from 192.168.10.100: icmp_seq=40 ttl=64 time=0.403 ms
64 bytes from 192.168.10.100: icmp_seq=41 ttl=64 time=0.084 ms
64 bytes from 192.168.10.100: icmp_seq=42 ttl=64 time=0.394 ms
64 bytes from 192.168.10.100: icmp_seq=43 ttl=64 time=0.099 ms
64 bytes from 192.168.10.100: icmp_seq=44 ttl=64 time=0.096 ms
64 bytes from 192.168.10.100: icmp_seq=45 ttl=64 time=0.118 ms
64 bytes from 192.168.10.100: icmp_seq=46 ttl=64 time=1.26 ms
64 bytes from 192.168.10.100: icmp_seq=47 ttl=64 time=0.097 ms
64 bytes from 192.168.10.100: icmp_seq=48 ttl=64 time=0.228 ms
64 bytes from 192.168.10.100: icmp_seq=49 ttl=64 time=0.244 ms
64 bytes from 192.168.10.100: icmp_seq=50 ttl=64 time=0.310 ms
64 bytes from 192.168.10.100: icmp_seq=51 ttl=64 time=0.274 ms
64 bytes from 192.168.10.100: icmp_seq=52 ttl=64 time=0.202 ms
64 bytes from 192.168.10.100: icmp_seq=53 ttl=64 time=0.128 ms
64 bytes from 192.168.10.100: icmp_seq=54 ttl=64 time=0.200 ms
64 bytes from 192.168.10.100: icmp_seq=55 ttl=64 time=0.667 ms
64 bytes from 192.168.10.100: icmp_seq=56 ttl=64 time=0.324 ms
64 bytes from 192.168.10.100: icmp_seq=57 ttl=64 time=0.103 ms
64 bytes from 192.168.10.100: icmp_seq=58 ttl=64 time=0.347 ms
64 bytes from 192.168.10.100: icmp_seq=59 ttl=64 time=0.138 ms
64 bytes from 192.168.10.100: icmp_seq=60 ttl=64 time=0.148 ms
64 bytes from 192.168.10.100: icmp_seq=61 ttl=64 time=0.261 ms
64 bytes from 192.168.10.100: icmp_seq=62 ttl=64 time=0.113 ms
64 bytes from 192.168.10.100: icmp_seq=63 ttl=64 time=0.259 ms
64 bytes from 192.168.10.100: icmp_seq=64 ttl=64 time=0.190 ms
64 bytes from 192.168.10.100: icmp_seq=65 ttl=64 time=0.591 ms
64 bytes from 192.168.10.100: icmp_seq=66 ttl=64 time=0.124 ms
64 bytes from 192.168.10.100: icmp_seq=67 ttl=64 time=0.757 ms
64 bytes from 192.168.10.100: icmp_seq=68 ttl=64 time=0.276 ms
64 bytes from 192.168.10.100: icmp_seq=69 ttl=64 time=0.089 ms
64 bytes from 192.168.10.100: icmp_seq=70 ttl=64 time=0.462 ms
64 bytes from 192.168.10.100: icmp_seq=71 ttl=64 time=0.134 ms
64 bytes from 192.168.10.100: icmp_seq=72 ttl=64 time=0.183 ms
64 bytes from 192.168.10.100: icmp_seq=73 ttl=64 time=0.096 ms
64 bytes from 192.168.10.100: icmp_seq=74 ttl=64 time=0.629 ms
64 bytes from 192.168.10.100: icmp_seq=75 ttl=64 time=0.101 ms
64 bytes from 192.168.10.100: icmp_seq=76 ttl=64 time=0.530 ms
64 bytes from 192.168.10.100: icmp_seq=77 ttl=64 time=0.196 ms
64 bytes from 192.168.10.100: icmp_seq=78 ttl=64 time=0.089 ms
64 bytes from 192.168.10.100: icmp_seq=79 ttl=64 time=0.171 ms
64 bytes from 192.168.10.100: icmp_seq=80 ttl=64 time=0.096 ms
64 bytes from 192.168.10.100: icmp_seq=81 ttl=64 time=0.434 ms
64 bytes from 192.168.10.100: icmp_seq=82 ttl=64 time=0.085 ms
64 bytes from 192.168.10.100: icmp_seq=83 ttl=64 time=0.370 ms
64 bytes from 192.168.10.100: icmp_seq=84 ttl=64 time=0.091 ms
64 bytes from 192.168.10.100: icmp_seq=85 ttl=64 time=0.307 ms
64 bytes from 192.168.10.100: icmp_seq=100 ttl=64 time=2.33 ms
64 bytes from 192.168.10.100: icmp_seq=101 ttl=64 time=0.359 ms
64 bytes from 192.168.10.100: icmp_seq=102 ttl=64 time=0.206 ms
64 bytes from 192.168.10.100: icmp_seq=103 ttl=64 time=0.180 ms
64 bytes from 192.168.10.100: icmp_seq=104 ttl=64 time=0.483 ms
64 bytes from 192.168.10.100: icmp_seq=105 ttl=64 time=0.601 ms
64 bytes from 192.168.10.100: icmp_seq=106 ttl=64 time=0.456 ms
64 bytes from 192.168.10.100: icmp_seq=107 ttl=64 time=0.116 ms
64 bytes from 192.168.10.100: icmp_seq=108 ttl=64 time=0.416 ms
64 bytes from 192.168.10.100: icmp_seq=109 ttl=64 time=0.092 ms
64 bytes from 192.168.10.100: icmp_seq=110 ttl=64 time=0.336 ms
64 bytes from 192.168.10.100: icmp_seq=111 ttl=64 time=0.201 ms
64 bytes from 192.168.10.100: icmp_seq=112 ttl=64 time=0.124 ms
64 bytes from 192.168.10.100: icmp_seq=113 ttl=64 time=0.735 ms
64 bytes from 192.168.10.100: icmp_seq=114 ttl=64 time=0.517 ms
64 bytes from 192.168.10.100: icmp_seq=115 ttl=64 time=0.427 ms
64 bytes from 192.168.10.100: icmp_seq=116 ttl=64 time=0.197 ms
64 bytes from 192.168.10.100: icmp_seq=117 ttl=64 time=0.177 ms
64 bytes from 192.168.10.100: icmp_seq=118 ttl=64 time=0.201 ms
64 bytes from 192.168.10.100: icmp_seq=119 ttl=64 time=0.201 ms
64 bytes from 192.168.10.100: icmp_seq=120 ttl=64 time=0.596 ms

--- 192.168.10.100 ping statistics ---
120 packets transmitted, 105 received, 12.5% packet loss, time 121796ms
rtt min/avg/max/mdev = 0.069/0.343/3.133/0.400 ms
