PING 192.168.10.100 (192.168.10.100) 56(84) bytes of data.
64 bytes from 192.168.10.100: icmp_seq=2 ttl=64 time=3.82 ms
64 bytes from 192.168.10.100: icmp_seq=3 ttl=64 time=1.01 ms
64 bytes from 192.168.10.100: icmp_seq=4 ttl=64 time=0.323 ms
64 bytes from 192.168.10.100: icmp_seq=5 ttl=64 time=0.298 ms
64 bytes from 192.168.10.100: icmp_seq=6 ttl=64 time=0.295 ms
64 bytes from 192.168.10.100: icmp_seq=7 ttl=64 time=0.290 ms
64 bytes from 192.168.10.100: icmp_seq=8 ttl=64 time=0.345 ms
64 bytes from 192.168.10.100: icmp_seq=9 ttl=64 time=0.298 ms
64 bytes from 192.168.10.100: icmp_seq=10 ttl=64 time=0.329 ms
64 bytes from 192.168.10.100: icmp_seq=11 ttl=64 time=0.161 ms
64 bytes from 192.168.10.100: icmp_seq=12 ttl=64 time=0.162 ms
64 bytes from 192.168.10.100: icmp_seq=13 ttl=64 time=0.187 ms
64 bytes from 192.168.10.100: icmp_seq=14 ttl=64 time=0.158 ms
64 bytes from 192.168.10.100: icmp_seq=15 ttl=64 time=0.159 ms
64 bytes from 192.168.10.100: icmp_seq=16 ttl=64 time=0.220 ms
64 bytes from 192.168.10.100: icmp_seq=17 ttl=64 time=0.219 ms
64 bytes from 192.168.10.100: icmp_seq=18 ttl=64 time=0.289 ms
64 bytes from 192.168.10.100: icmp_seq=19 ttl=64 time=0.274 ms
64 bytes from 192.168.10.100: icmp_seq=20 ttl=64 time=0.316 ms
64 bytes from 192.168.10.100: icmp_seq=21 ttl=64 time=0.302 ms
64 bytes from 192.168.10.100: icmp_seq=22 ttl=64 time=0.385 ms
64 bytes from 192.168.10.100: icmp_seq=23 ttl=64 time=0.333 ms
64 bytes from 192.168.10.100: icmp_seq=24 ttl=64 time=0.354 ms
64 bytes from 192.168.10.100: icmp_seq=25 ttl=64 time=0.307 ms
64 bytes from 192.168.10.100: icmp_seq=26 ttl=64 time=0.291 ms
64 bytes from 192.168.10.100: icmp_seq=27 ttl=64 time=0.309 ms
64 bytes from 192.168.10.100: icmp_seq=28 ttl=64 time=0.289 ms
64 bytes from 192.168.10.100: icmp_seq=29 ttl=64 time=0.348 ms
64 bytes from 192.168.10.100: icmp_seq=30 ttl=64 time=0.319 ms
64 bytes from 192.168.10.100: icmp_seq=31 ttl=64 time=0.300 ms
64 bytes from 192.168.10.100: icmp_seq=32 ttl=64 time=0.396 ms
64 bytes from 192.168.10.100: icmp_seq=33 ttl=64 time=0.281 ms
64 bytes from 192.168.10.100: icmp_seq=34 ttl=64 time=0.222 ms
64 bytes from 192.168.10.100: icmp_seq=35 ttl=64 time=0.160 ms
64 bytes from 192.168.10.100: icmp_seq=36 ttl=64 time=0.172 ms
64 bytes from 192.168.10.100: icmp_seq=37 ttl=64 time=0.177 ms
64 bytes from 192.168.10.100: icmp_seq=38 ttl=64 time=0.156 ms
64 bytes from 192.168.10.100: icmp_seq=39 ttl=64 time=0.208 ms
64 bytes from 192.168.10.100: icmp_seq=40 ttl=64 time=0.227 ms
64 bytes from 192.168.10.100: icmp_seq=41 ttl=64 time=0.295 ms
