PING 192.168.10.100 (192.168.10.100) 56(84) bytes of data.
64 bytes from 192.168.10.100: icmp_seq=3 ttl=64 time=4.00 ms
64 bytes from 192.168.10.100: icmp_seq=4 ttl=64 time=1.14 ms
64 bytes from 192.168.10.100: icmp_seq=5 ttl=64 time=0.320 ms
64 bytes from 192.168.10.100: icmp_seq=6 ttl=64 time=0.363 ms
64 bytes from 192.168.10.100: icmp_seq=7 ttl=64 time=0.310 ms
64 bytes from 192.168.10.100: icmp_seq=8 ttl=64 time=0.284 ms
64 bytes from 192.168.10.100: icmp_seq=9 ttl=64 time=0.314 ms
64 bytes from 192.168.10.100: icmp_seq=10 ttl=64 time=0.356 ms
64 bytes from 192.168.10.100: icmp_seq=11 ttl=64 time=0.355 ms
64 bytes from 192.168.10.100: icmp_seq=12 ttl=64 time=0.168 ms
64 bytes from 192.168.10.100: icmp_seq=13 ttl=64 time=0.168 ms
64 bytes from 192.168.10.100: icmp_seq=14 ttl=64 time=0.294 ms
64 bytes from 192.168.10.100: icmp_seq=15 ttl=64 time=0.297 ms
64 bytes from 192.168.10.100: icmp_seq=16 ttl=64 time=0.324 ms
64 bytes from 192.168.10.100: icmp_seq=17 ttl=64 time=0.226 ms
64 bytes from 192.168.10.100: icmp_seq=18 ttl=64 time=0.220 ms
64 bytes from 192.168.10.100: icmp_seq=19 ttl=64 time=0.247 ms
64 bytes from 192.168.10.100: icmp_seq=20 ttl=64 time=0.222 ms
64 bytes from 192.168.10.100: icmp_seq=21 ttl=64 time=0.356 ms
64 bytes from 192.168.10.100: icmp_seq=22 ttl=64 time=0.274 ms
64 bytes from 192.168.10.100: icmp_seq=23 ttl=64 time=0.232 ms
64 bytes from 192.168.10.100: icmp_seq=24 ttl=64 time=0.267 ms
64 bytes from 192.168.10.100: icmp_seq=25 ttl=64 time=0.189 ms
64 bytes from 192.168.10.100: icmp_seq=26 ttl=64 time=0.328 ms
64 bytes from 192.168.10.100: icmp_seq=27 ttl=64 time=0.165 ms
64 bytes from 192.168.10.100: icmp_seq=28 ttl=64 time=0.179 ms
64 bytes from 192.168.10.100: icmp_seq=29 ttl=64 time=0.189 ms
64 bytes from 192.168.10.100: icmp_seq=30 ttl=64 time=0.239 ms
64 bytes from 192.168.10.100: icmp_seq=31 ttl=64 time=0.353 ms
64 bytes from 192.168.10.100: icmp_seq=32 ttl=64 time=0.310 ms
64 bytes from 192.168.10.100: icmp_seq=33 ttl=64 time=0.739 ms
64 bytes from 192.168.10.100: icmp_seq=34 ttl=64 time=0.470 ms
64 bytes from 192.168.10.100: icmp_seq=35 ttl=64 time=0.314 ms
64 bytes from 192.168.10.100: icmp_seq=36 ttl=64 time=0.317 ms
64 bytes from 192.168.10.100: icmp_seq=37 ttl=64 time=0.287 ms
64 bytes from 192.168.10.100: icmp_seq=38 ttl=64 time=0.298 ms
64 bytes from 192.168.10.100: icmp_seq=39 ttl=64 time=0.359 ms
64 bytes from 192.168.10.100: icmp_seq=40 ttl=64 time=0.334 ms
64 bytes from 192.168.10.100: icmp_seq=41 ttl=64 time=0.511 ms
64 bytes from 192.168.10.100: icmp_seq=42 ttl=64 time=0.297 ms
64 bytes from 192.168.10.100: icmp_seq=43 ttl=64 time=0.287 ms
64 bytes from 192.168.10.100: icmp_seq=44 ttl=64 time=0.312 ms
64 bytes from 192.168.10.100: icmp_seq=45 ttl=64 time=0.303 ms
64 bytes from 192.168.10.100: icmp_seq=46 ttl=64 time=0.284 ms
64 bytes from 192.168.10.100: icmp_seq=47 ttl=64 time=0.292 ms
64 bytes from 192.168.10.100: icmp_seq=48 ttl=64 time=0.284 ms
64 bytes from 192.168.10.100: icmp_seq=49 ttl=64 time=0.288 ms
64 bytes from 192.168.10.100: icmp_seq=50 ttl=64 time=0.287 ms
64 bytes from 192.168.10.100: icmp_seq=51 ttl=64 time=0.302 ms
64 bytes from 192.168.10.100: icmp_seq=52 ttl=64 time=0.318 ms
64 bytes from 192.168.10.100: icmp_seq=53 ttl=64 time=0.321 ms
64 bytes from 192.168.10.100: icmp_seq=54 ttl=64 time=0.292 ms
64 bytes from 192.168.10.100: icmp_seq=55 ttl=64 time=0.299 ms
64 bytes from 192.168.10.100: icmp_seq=56 ttl=64 time=0.307 ms
64 bytes from 192.168.10.100: icmp_seq=57 ttl=64 time=0.323 ms
64 bytes from 192.168.10.100: icmp_seq=58 ttl=64 time=0.290 ms
64 bytes from 192.168.10.100: icmp_seq=59 ttl=64 time=0.306 ms
64 bytes from 192.168.10.100: icmp_seq=60 ttl=64 time=0.278 ms
64 bytes from 192.168.10.100: icmp_seq=61 ttl=64 time=0.298 ms
64 bytes from 192.168.10.100: icmp_seq=62 ttl=64 time=0.285 ms
64 bytes from 192.168.10.100: icmp_seq=63 ttl=64 time=0.300 ms
64 bytes from 192.168.10.100: icmp_seq=64 ttl=64 time=0.274 ms
64 bytes from 192.168.10.100: icmp_seq=65 ttl=64 time=0.283 ms
