PING 192.168.10.100 (192.168.10.100) 56(84) bytes of data.
64 bytes from 192.168.10.100: icmp_seq=4 ttl=64 time=3.18 ms
64 bytes from 192.168.10.100: icmp_seq=5 ttl=64 time=0.917 ms
64 bytes from 192.168.10.100: icmp_seq=6 ttl=64 time=0.283 ms
64 bytes from 192.168.10.100: icmp_seq=7 ttl=64 time=0.316 ms
64 bytes from 192.168.10.100: icmp_seq=8 ttl=64 time=0.266 ms
64 bytes from 192.168.10.100: icmp_seq=9 ttl=64 time=0.319 ms
64 bytes from 192.168.10.100: icmp_seq=10 ttl=64 time=0.294 ms
64 bytes from 192.168.10.100: icmp_seq=11 ttl=64 time=0.298 ms
64 bytes from 192.168.10.100: icmp_seq=12 ttl=64 time=0.397 ms
64 bytes from 192.168.10.100: icmp_seq=13 ttl=64 time=0.295 ms
64 bytes from 192.168.10.100: icmp_seq=14 ttl=64 time=0.296 ms
64 bytes from 192.168.10.100: icmp_seq=15 ttl=64 time=0.631 ms
64 bytes from 192.168.10.100: icmp_seq=16 ttl=64 time=0.363 ms
64 bytes from 192.168.10.100: icmp_seq=17 ttl=64 time=0.339 ms
64 bytes from 192.168.10.100: icmp_seq=18 ttl=64 time=0.310 ms
64 bytes from 192.168.10.100: icmp_seq=19 ttl=64 time=0.346 ms
64 bytes from 192.168.10.100: icmp_seq=20 ttl=64 time=0.314 ms
64 bytes from 192.168.10.100: icmp_seq=21 ttl=64 time=0.371 ms
64 bytes from 192.168.10.100: icmp_seq=22 ttl=64 time=0.450 ms
64 bytes from 192.168.10.100: icmp_seq=23 ttl=64 time=0.323 ms
64 bytes from 192.168.10.100: icmp_seq=24 ttl=64 time=0.336 ms
64 bytes from 192.168.10.100: icmp_seq=25 ttl=64 time=0.308 ms
64 bytes from 192.168.10.100: icmp_seq=26 ttl=64 time=0.289 ms
64 bytes from 192.168.10.100: icmp_seq=27 ttl=64 time=0.285 ms
64 bytes from 192.168.10.100: icmp_seq=28 ttl=64 time=0.287 ms
64 bytes from 192.168.10.100: icmp_seq=29 ttl=64 time=0.320 ms
64 bytes from 192.168.10.100: icmp_seq=30 ttl=64 time=0.329 ms
