PING 192.168.10.100 (192.168.10.100) 56(84) bytes of data.
64 bytes from 192.168.10.100: icmp_seq=3 ttl=64 time=3.43 ms
64 bytes from 192.168.10.100: icmp_seq=4 ttl=64 time=1.07 ms
64 bytes from 192.168.10.100: icmp_seq=5 ttl=64 time=0.299 ms
64 bytes from 192.168.10.100: icmp_seq=6 ttl=64 time=0.290 ms
64 bytes from 192.168.10.100: icmp_seq=7 ttl=64 time=0.301 ms
64 bytes from 192.168.10.100: icmp_seq=8 ttl=64 time=0.295 ms
64 bytes from 192.168.10.100: icmp_seq=9 ttl=64 time=0.312 ms
64 bytes from 192.168.10.100: icmp_seq=10 ttl=64 time=0.291 ms
64 bytes from 192.168.10.100: icmp_seq=11 ttl=64 time=0.338 ms
64 bytes from 192.168.10.100: icmp_seq=12 ttl=64 time=0.305 ms
64 bytes from 192.168.10.100: icmp_seq=13 ttl=64 time=0.367 ms
64 bytes from 192.168.10.100: icmp_seq=14 ttl=64 time=0.293 ms
64 bytes from 192.168.10.100: icmp_seq=15 ttl=64 time=0.307 ms
64 bytes from 192.168.10.100: icmp_seq=16 ttl=64 time=0.299 ms
64 bytes from 192.168.10.100: icmp_seq=17 ttl=64 time=0.256 ms
64 bytes from 192.168.10.100: icmp_seq=18 ttl=64 time=0.295 ms
64 bytes from 192.168.10.100: icmp_seq=19 ttl=64 time=0.297 ms
64 bytes from 192.168.10.100: icmp_seq=20 ttl=64 time=0.169 ms
64 bytes from 192.168.10.100: icmp_seq=21 ttl=64 time=0.452 ms
64 bytes from 192.168.10.100: icmp_seq=22 ttl=64 time=0.299 ms
64 bytes from 192.168.10.100: icmp_seq=23 ttl=64 time=0.302 ms
64 bytes from 192.168.10.100: icmp_seq=24 ttl=64 time=0.300 ms
64 bytes from 192.168.10.100: icmp_seq=25 ttl=64 time=0.387 ms
64 bytes from 192.168.10.100: icmp_seq=26 ttl=64 time=0.284 ms
64 bytes from 192.168.10.100: icmp_seq=27 ttl=64 time=0.548 ms
64 bytes from 192.168.10.100: icmp_seq=28 ttl=64 time=0.166 ms
64 bytes from 192.168.10.100: icmp_seq=29 ttl=64 time=0.162 ms
64 bytes from 192.168.10.100: icmp_seq=30 ttl=64 time=0.172 ms
64 bytes from 192.168.10.100: icmp_seq=31 ttl=64 time=0.161 ms
64 bytes from 192.168.10.100: icmp_seq=32 ttl=64 time=0.314 ms
64 bytes from 192.168.10.100: icmp_seq=33 ttl=64 time=0.304 ms
64 bytes from 192.168.10.100: icmp_seq=34 ttl=64 time=0.310 ms
64 bytes from 192.168.10.100: icmp_seq=35 ttl=64 time=0.297 ms
64 bytes from 192.168.10.100: icmp_seq=36 ttl=64 time=0.288 ms
64 bytes from 192.168.10.100: icmp_seq=37 ttl=64 time=0.293 ms
64 bytes from 192.168.10.100: icmp_seq=38 ttl=64 time=0.303 ms
64 bytes from 192.168.10.100: icmp_seq=39 ttl=64 time=0.302 ms
64 bytes from 192.168.10.100: icmp_seq=40 ttl=64 time=0.307 ms
64 bytes from 192.168.10.100: icmp_seq=41 ttl=64 time=0.311 ms
64 bytes from 192.168.10.100: icmp_seq=42 ttl=64 time=0.298 ms
64 bytes from 192.168.10.100: icmp_seq=43 ttl=64 time=0.315 ms
64 bytes from 192.168.10.100: icmp_seq=44 ttl=64 time=0.179 ms
64 bytes from 192.168.10.100: icmp_seq=45 ttl=64 time=0.171 ms
64 bytes from 192.168.10.100: icmp_seq=46 ttl=64 time=0.238 ms
64 bytes from 192.168.10.100: icmp_seq=47 ttl=64 time=0.163 ms
64 bytes from 192.168.10.100: icmp_seq=48 ttl=64 time=0.220 ms
64 bytes from 192.168.10.100: icmp_seq=49 ttl=64 time=0.307 ms
64 bytes from 192.168.10.100: icmp_seq=50 ttl=64 time=0.173 ms
64 bytes from 192.168.10.100: icmp_seq=51 ttl=64 time=0.160 ms
64 bytes from 192.168.10.100: icmp_seq=52 ttl=64 time=0.206 ms
64 bytes from 192.168.10.100: icmp_seq=53 ttl=64 time=0.208 ms
64 bytes from 192.168.10.100: icmp_seq=54 ttl=64 time=0.246 ms
64 bytes from 192.168.10.100: icmp_seq=55 ttl=64 time=0.286 ms
64 bytes from 192.168.10.100: icmp_seq=56 ttl=64 time=0.464 ms
64 bytes from 192.168.10.100: icmp_seq=57 ttl=64 time=0.279 ms
64 bytes from 192.168.10.100: icmp_seq=58 ttl=64 time=0.333 ms
64 bytes from 192.168.10.100: icmp_seq=59 ttl=64 time=0.421 ms
64 bytes from 192.168.10.100: icmp_seq=60 ttl=64 time=0.293 ms
64 bytes from 192.168.10.100: icmp_seq=61 ttl=64 time=0.338 ms
64 bytes from 192.168.10.100: icmp_seq=62 ttl=64 time=0.491 ms
64 bytes from 192.168.10.100: icmp_seq=63 ttl=64 time=0.231 ms
64 bytes from 192.168.10.100: icmp_seq=64 ttl=64 time=0.278 ms
64 bytes from 192.168.10.100: icmp_seq=65 ttl=64 time=0.381 ms
64 bytes from 192.168.10.100: icmp_seq=66 ttl=64 time=0.868 ms
64 bytes from 192.168.10.100: icmp_seq=67 ttl=64 time=0.345 ms
64 bytes from 192.168.10.100: icmp_seq=68 ttl=64 time=0.230 ms
64 bytes from 192.168.10.100: icmp_seq=69 ttl=64 time=0.225 ms
64 bytes from 192.168.10.100: icmp_seq=70 ttl=64 time=0.395 ms
64 bytes from 192.168.10.100: icmp_seq=71 ttl=64 time=0.299 ms
64 bytes from 192.168.10.100: icmp_seq=72 ttl=64 time=0.285 ms
64 bytes from 192.168.10.100: icmp_seq=73 ttl=64 time=0.421 ms
64 bytes from 192.168.10.100: icmp_seq=74 ttl=64 time=0.965 ms
64 bytes from 192.168.10.100: icmp_seq=75 ttl=64 time=0.305 ms
64 bytes from 192.168.10.100: icmp_seq=76 ttl=64 time=0.300 ms
64 bytes from 192.168.10.100: icmp_seq=77 ttl=64 time=0.277 ms
64 bytes from 192.168.10.100: icmp_seq=78 ttl=64 time=0.158 ms
64 bytes from 192.168.10.100: icmp_seq=79 ttl=64 time=0.374 ms
64 bytes from 192.168.10.100: icmp_seq=80 ttl=64 time=0.284 ms
64 bytes from 192.168.10.100: icmp_seq=81 ttl=64 time=0.253 ms
64 bytes from 192.168.10.100: icmp_seq=82 ttl=64 time=0.301 ms
64 bytes from 192.168.10.100: icmp_seq=83 ttl=64 time=0.286 ms
64 bytes from 192.168.10.100: icmp_seq=84 ttl=64 time=0.289 ms
64 bytes from 192.168.10.100: icmp_seq=85 ttl=64 time=0.283 ms
64 bytes from 192.168.10.100: icmp_seq=86 ttl=64 time=0.304 ms
64 bytes from 192.168.10.100: icmp_seq=87 ttl=64 time=0.289 ms
64 bytes from 192.168.10.100: icmp_seq=102 ttl=64 time=2.86 ms
64 bytes from 192.168.10.100: icmp_seq=103 ttl=64 time=1.17 ms
64 bytes from 192.168.10.100: icmp_seq=104 ttl=64 time=0.777 ms
64 bytes from 192.168.10.100: icmp_seq=105 ttl=64 time=0.488 ms
64 bytes from 192.168.10.100: icmp_seq=106 ttl=64 time=0.282 ms
64 bytes from 192.168.10.100: icmp_seq=107 ttl=64 time=0.287 ms
64 bytes from 192.168.10.100: icmp_seq=108 ttl=64 time=0.285 ms
64 bytes from 192.168.10.100: icmp_seq=109 ttl=64 time=0.287 ms
64 bytes from 192.168.10.100: icmp_seq=110 ttl=64 time=0.358 ms
64 bytes from 192.168.10.100: icmp_seq=111 ttl=64 time=0.321 ms
64 bytes from 192.168.10.100: icmp_seq=112 ttl=64 time=0.292 ms
64 bytes from 192.168.10.100: icmp_seq=113 ttl=64 time=0.284 ms
64 bytes from 192.168.10.100: icmp_seq=114 ttl=64 time=0.338 ms
64 bytes from 192.168.10.100: icmp_seq=115 ttl=64 time=0.408 ms
64 bytes from 192.168.10.100: icmp_seq=116 ttl=64 time=0.220 ms
64 bytes from 192.168.10.100: icmp_seq=117 ttl=64 time=0.138 ms
64 bytes from 192.168.10.100: icmp_seq=118 ttl=64 time=0.207 ms
64 bytes from 192.168.10.100: icmp_seq=119 ttl=64 time=0.163 ms
64 bytes from 192.168.10.100: icmp_seq=120 ttl=64 time=0.301 ms

--- 192.168.10.100 ping statistics ---
120 packets transmitted, 104 received, 13.3333% packet loss, time 121754ms
rtt min/avg/max/mdev = 0.138/0.378/3.433/0.423 ms
