------------------------------------------------------------
Client connecting to 192.168.10.100, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.10.10 port 60230 connected with 192.168.10.100 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  1.63 MBytes  13.6 Mbits/sec
[  1] 1.0000-2.0000 sec  1.38 MBytes  11.5 Mbits/sec
[  1] 2.0000-3.0000 sec  1.25 MBytes  10.5 Mbits/sec
[  1] 3.0000-4.0000 sec  1.62 MBytes  13.6 Mbits/sec
[  1] 4.0000-5.0000 sec  1.25 MBytes  10.5 Mbits/sec
[  1] 5.0000-6.0000 sec  1.38 MBytes  11.5 Mbits/sec
[  1] 6.0000-7.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  1] 7.0000-8.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  1] 8.0000-9.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  1] 9.0000-10.0000 sec  1.43 MBytes  12.0 Mbits/sec
[  1] 10.0000-11.0000 sec  1.62 MBytes  13.6 Mbits/sec
[  1] 11.0000-12.0000 sec  1.86 MBytes  15.6 Mbits/sec
[  1] 12.0000-13.0000 sec  2.18 MBytes  18.3 Mbits/sec
[  1] 13.0000-14.0000 sec  2.61 MBytes  21.9 Mbits/sec
[  1] 14.0000-15.0000 sec  1.80 MBytes  15.1 Mbits/sec
[  1] 15.0000-16.0000 sec   698 KBytes  5.72 Mbits/sec
[  1] 16.0000-17.0000 sec   127 KBytes  1.04 Mbits/sec
[  1] 17.0000-18.0000 sec  1.37 MBytes  11.5 Mbits/sec
[  1] 18.0000-19.0000 sec  2.30 MBytes  19.3 Mbits/sec
[  1] 19.0000-20.0000 sec  1.24 MBytes  10.4 Mbits/sec
[  1] 20.0000-21.0000 sec  1.55 MBytes  13.0 Mbits/sec
[  1] 21.0000-22.0000 sec  1014 KBytes  8.31 Mbits/sec
[  1] 22.0000-23.0000 sec   256 KBytes  2.10 Mbits/sec
[  1] 23.0000-24.0000 sec  2.49 MBytes  20.9 Mbits/sec
[  1] 24.0000-25.0000 sec  1.30 MBytes  10.9 Mbits/sec
