------------------------------------------------------------
Client connecting to 192.168.10.100, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.10.10 port 60230 connected with 192.168.10.100 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 25.0000-26.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 26.0000-27.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 27.0000-28.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 28.0000-29.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 29.0000-30.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 30.0000-31.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 31.0000-32.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 32.0000-33.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 33.0000-34.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 34.0000-35.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 35.0000-36.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 36.0000-37.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 37.0000-38.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 38.0000-39.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 39.0000-40.0000 sec  60.7 KBytes   497 Kbits/sec
[  1] 40.0000-41.0000 sec  1.06 MBytes  8.90 Mbits/sec
[  1] 41.0000-42.0000 sec  2.36 MBytes  19.8 Mbits/sec
[  1] 42.0000-43.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 43.0000-44.0000 sec   573 KBytes  4.69 Mbits/sec
[  1] 44.0000-45.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 45.0000-46.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 46.0000-47.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 47.0000-48.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 48.0000-49.0000 sec  60.7 KBytes   497 Kbits/sec
[  1] 49.0000-50.0000 sec  1.06 MBytes  8.90 Mbits/sec
[  1] 50.0000-51.0000 sec  2.36 MBytes  19.8 Mbits/sec
[  1] 51.0000-52.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 52.0000-53.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 53.0000-54.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 54.0000-55.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 55.0000-56.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 56.0000-57.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 57.0000-58.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 58.0000-59.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 59.0000-60.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 60.0000-61.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 61.0000-62.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 62.0000-63.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 63.0000-64.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 64.0000-65.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 65.0000-66.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 66.0000-67.0000 sec   315 KBytes  2.58 Mbits/sec
[  1] 67.0000-68.0000 sec   640 KBytes  5.24 Mbits/sec
[  1] 68.0000-69.0000 sec  2.42 MBytes  20.3 Mbits/sec
[  1] 69.0000-70.0000 sec  1.30 MBytes  10.9 Mbits/sec
[  1] 70.0000-71.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 71.0000-72.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 72.0000-73.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 73.0000-74.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 74.0000-75.0000 sec   506 KBytes  4.15 Mbits/sec
[  1] 75.0000-76.0000 sec   384 KBytes  3.15 Mbits/sec
[  1] 76.0000-77.0000 sec  2.49 MBytes  20.9 Mbits/sec
[  1] 77.0000-78.0000 sec   952 KBytes  7.80 Mbits/sec
[  1] 78.0000-79.0000 sec   127 KBytes  1.04 Mbits/sec
[  1] 79.0000-80.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 80.0000-81.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 81.0000-82.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 82.0000-83.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 83.0000-84.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 84.0000-85.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 85.0000-86.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 86.0000-87.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 87.0000-88.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 88.0000-89.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 89.0000-90.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 90.0000-91.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 91.0000-92.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 92.0000-93.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 93.0000-94.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 94.0000-95.0000 sec  1.37 MBytes  11.5 Mbits/sec
[  1] 95.0000-96.0000 sec  1.12 MBytes  9.40 Mbits/sec
[  1] 96.0000-97.0000 sec   892 KBytes  7.30 Mbits/sec
[  1] 97.0000-98.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 98.0000-99.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 99.0000-100.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 100.0000-101.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 101.0000-102.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 102.0000-103.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 103.0000-104.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 104.0000-105.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 105.0000-106.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 106.0000-107.0000 sec   573 KBytes  4.69 Mbits/sec
[  1] 107.0000-108.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 108.0000-109.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 109.0000-110.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 110.0000-111.0000 sec  1.06 MBytes  8.86 Mbits/sec
[  1] 111.0000-112.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 112.0000-113.0000 sec  1017 KBytes  8.33 Mbits/sec
[  1] 113.0000-114.0000 sec  1.18 MBytes  9.91 Mbits/sec
[  1] 114.0000-115.0000 sec  1.74 MBytes  14.6 Mbits/sec
[  1] 115.0000-116.0000 sec   121 KBytes   988 Kbits/sec
[  1] 116.0000-117.0000 sec  1023 KBytes  8.38 Mbits/sec
[  1] 117.0000-118.0000 sec  2.42 MBytes  20.3 Mbits/sec
[  1] 118.0000-119.0000 sec  1.24 MBytes  10.4 Mbits/sec
[  1] 119.0000-120.0000 sec  1.12 MBytes  9.38 Mbits/sec
[  1] 120.0000-127.6587 sec  60.7 KBytes  64.9 Kbits/sec
[  1] 0.0000-127.6587 sec   127 MBytes  8.32 Mbits/sec
