PING 192.168.10.100 (192.168.10.100) 56(84) bytes of data.
64 bytes from 192.168.10.100: icmp_seq=1 ttl=64 time=3.47 ms
64 bytes from 192.168.10.100: icmp_seq=2 ttl=64 time=1.04 ms
64 bytes from 192.168.10.100: icmp_seq=3 ttl=64 time=0.205 ms
64 bytes from 192.168.10.100: icmp_seq=4 ttl=64 time=0.153 ms
64 bytes from 192.168.10.100: icmp_seq=5 ttl=64 time=0.161 ms
64 bytes from 192.168.10.100: icmp_seq=6 ttl=64 time=0.176 ms
64 bytes from 192.168.10.100: icmp_seq=7 ttl=64 time=0.219 ms
64 bytes from 192.168.10.100: icmp_seq=8 ttl=64 time=0.215 ms
64 bytes from 192.168.10.100: icmp_seq=9 ttl=64 time=0.161 ms
64 bytes from 192.168.10.100: icmp_seq=10 ttl=64 time=0.223 ms
64 bytes from 192.168.10.100: icmp_seq=11 ttl=64 time=0.227 ms
64 bytes from 192.168.10.100: icmp_seq=12 ttl=64 time=0.215 ms
64 bytes from 192.168.10.100: icmp_seq=13 ttl=64 time=0.252 ms
64 bytes from 192.168.10.100: icmp_seq=14 ttl=64 time=0.219 ms
64 bytes from 192.168.10.100: icmp_seq=15 ttl=64 time=0.227 ms
64 bytes from 192.168.10.100: icmp_seq=16 ttl=64 time=0.221 ms
64 bytes from 192.168.10.100: icmp_seq=17 ttl=64 time=0.218 ms
64 bytes from 192.168.10.100: icmp_seq=18 ttl=64 time=0.220 ms
64 bytes from 192.168.10.100: icmp_seq=19 ttl=64 time=0.217 ms
64 bytes from 192.168.10.100: icmp_seq=20 ttl=64 time=0.217 ms
64 bytes from 192.168.10.100: icmp_seq=21 ttl=64 time=0.216 ms
64 bytes from 192.168.10.100: icmp_seq=22 ttl=64 time=0.230 ms
64 bytes from 192.168.10.100: icmp_seq=23 ttl=64 time=0.219 ms
64 bytes from 192.168.10.100: icmp_seq=24 ttl=64 time=0.205 ms
64 bytes from 192.168.10.100: icmp_seq=25 ttl=64 time=0.209 ms
64 bytes from 192.168.10.100: icmp_seq=26 ttl=64 time=0.215 ms
64 bytes from 192.168.10.100: icmp_seq=27 ttl=64 time=0.253 ms
64 bytes from 192.168.10.100: icmp_seq=28 ttl=64 time=0.208 ms
64 bytes from 192.168.10.100: icmp_seq=29 ttl=64 time=0.149 ms
64 bytes from 192.168.10.100: icmp_seq=30 ttl=64 time=0.148 ms
64 bytes from 192.168.10.100: icmp_seq=31 ttl=64 time=0.162 ms
