------------------------------------------------------------
Client connecting to 192.168.10.100, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.10.10 port 44120 connected with 192.168.10.100 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 85.0000-86.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 86.0000-87.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 87.0000-88.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 88.0000-89.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 89.0000-90.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 90.0000-91.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 91.0000-92.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 92.0000-93.0000 sec  4.75 MBytes  39.8 Mbits/sec
[  1] 93.0000-94.0000 sec  42.8 MBytes   359 Mbits/sec
[  1] 94.0000-95.0000 sec  43.9 MBytes   368 Mbits/sec
[  1] 95.0000-96.0000 sec  43.5 MBytes   365 Mbits/sec
[  1] 96.0000-97.0000 sec  46.0 MBytes   386 Mbits/sec
[  1] 97.0000-98.0000 sec  46.2 MBytes   388 Mbits/sec
[  1] 98.0000-99.0000 sec  46.1 MBytes   387 Mbits/sec
[  1] 99.0000-100.0000 sec  45.9 MBytes   385 Mbits/sec
[  1] 100.0000-101.0000 sec  43.5 MBytes   365 Mbits/sec
[  1] 101.0000-102.0000 sec  45.5 MBytes   382 Mbits/sec
[  1] 102.0000-103.0000 sec  45.9 MBytes   385 Mbits/sec
[  1] 103.0000-104.0000 sec  45.9 MBytes   385 Mbits/sec
[  1] 104.0000-105.0000 sec  45.9 MBytes   385 Mbits/sec
[  1] 105.0000-106.0000 sec  43.0 MBytes   361 Mbits/sec
[  1] 106.0000-107.0000 sec  47.9 MBytes   402 Mbits/sec
[  1] 107.0000-108.0000 sec  43.8 MBytes   367 Mbits/sec
[  1] 108.0000-109.0000 sec  46.4 MBytes   389 Mbits/sec
[  1] 109.0000-110.0000 sec  44.0 MBytes   369 Mbits/sec
[  1] 110.0000-111.0000 sec  46.8 MBytes   392 Mbits/sec
[  1] 111.0000-112.0000 sec  46.2 MBytes   388 Mbits/sec
[  1] 112.0000-113.0000 sec  46.0 MBytes   386 Mbits/sec
[  1] 113.0000-114.0000 sec  41.2 MBytes   346 Mbits/sec
[  1] 114.0000-115.0000 sec  45.2 MBytes   380 Mbits/sec
[  1] 115.0000-116.0000 sec  43.2 MBytes   363 Mbits/sec
[  1] 116.0000-117.0000 sec  45.9 MBytes   385 Mbits/sec
[  1] 117.0000-118.0000 sec  47.6 MBytes   400 Mbits/sec
[  1] 118.0000-119.0000 sec  48.2 MBytes   405 Mbits/sec
[  1] 119.0000-120.0000 sec  48.0 MBytes   403 Mbits/sec
[  1] 0.0000-120.1831 sec  4.69 GBytes   335 Mbits/sec
