------------------------------------------------------------
Client connecting to 192.168.10.100, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 192.168.10.10 port 47984 connected with 192.168.10.100 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 31.0000-32.0000 sec  42.0 MBytes   352 Mbits/sec
[  1] 32.0000-33.0000 sec  42.8 MBytes   359 Mbits/sec
[  1] 33.0000-34.0000 sec  39.4 MBytes   330 Mbits/sec
[  1] 34.0000-35.0000 sec  42.6 MBytes   358 Mbits/sec
[  1] 35.0000-36.0000 sec  40.0 MBytes   336 Mbits/sec
[  1] 36.0000-37.0000 sec  39.2 MBytes   329 Mbits/sec
[  1] 37.0000-38.0000 sec  43.0 MBytes   361 Mbits/sec
[  1] 38.0000-39.0000 sec  40.5 MBytes   340 Mbits/sec
[  1] 39.0000-40.0000 sec  43.6 MBytes   366 Mbits/sec
[  1] 40.0000-41.0000 sec  39.6 MBytes   332 Mbits/sec
[  1] 41.0000-42.0000 sec  42.9 MBytes   360 Mbits/sec
[  1] 42.0000-43.0000 sec  41.2 MBytes   346 Mbits/sec
[  1] 43.0000-44.0000 sec  42.8 MBytes   359 Mbits/sec
[  1] 44.0000-45.0000 sec  39.2 MBytes   329 Mbits/sec
[  1] 45.0000-46.0000 sec  40.2 MBytes   338 Mbits/sec
[  1] 46.0000-47.0000 sec  39.6 MBytes   332 Mbits/sec
[  1] 47.0000-48.0000 sec  43.0 MBytes   361 Mbits/sec
[  1] 48.0000-49.0000 sec  42.6 MBytes   358 Mbits/sec
[  1] 49.0000-50.0000 sec  40.2 MBytes   338 Mbits/sec
[  1] 50.0000-51.0000 sec  41.5 MBytes   348 Mbits/sec
[  1] 51.0000-52.0000 sec  42.9 MBytes   360 Mbits/sec
[  1] 52.0000-53.0000 sec  43.2 MBytes   363 Mbits/sec
[  1] 53.0000-54.0000 sec  42.8 MBytes   359 Mbits/sec
[  1] 54.0000-55.0000 sec  40.1 MBytes   337 Mbits/sec
[  1] 55.0000-56.0000 sec  40.9 MBytes   343 Mbits/sec
[  1] 56.0000-57.0000 sec  39.1 MBytes   328 Mbits/sec
[  1] 57.0000-58.0000 sec  42.2 MBytes   354 Mbits/sec
[  1] 58.0000-59.0000 sec  40.5 MBytes   340 Mbits/sec
[  1] 59.0000-60.0000 sec  43.0 MBytes   361 Mbits/sec
[  1] 60.0000-61.0000 sec  42.2 MBytes   354 Mbits/sec
[  1] 61.0000-62.0000 sec  39.2 MBytes   329 Mbits/sec
[  1] 62.0000-63.0000 sec  43.1 MBytes   362 Mbits/sec
[  1] 63.0000-64.0000 sec  39.5 MBytes   331 Mbits/sec
[  1] 64.0000-65.0000 sec  40.5 MBytes   340 Mbits/sec
[  1] 65.0000-66.0000 sec  42.6 MBytes   358 Mbits/sec
[  1] 66.0000-67.0000 sec  42.9 MBytes   360 Mbits/sec
[  1] 67.0000-68.0000 sec  42.6 MBytes   358 Mbits/sec
[  1] 68.0000-69.0000 sec  40.5 MBytes   340 Mbits/sec
[  1] 69.0000-70.0000 sec  42.9 MBytes   360 Mbits/sec
[  1] 70.0000-71.0000 sec  40.1 MBytes   337 Mbits/sec
[  1] 71.0000-72.0000 sec  42.6 MBytes   358 Mbits/sec
[  1] 72.0000-73.0000 sec  42.4 MBytes   355 Mbits/sec
[  1] 73.0000-74.0000 sec  42.2 MBytes   354 Mbits/sec
[  1] 74.0000-75.0000 sec  39.6 MBytes   332 Mbits/sec
[  1] 75.0000-76.0000 sec  42.5 MBytes   357 Mbits/sec
[  1] 76.0000-77.0000 sec  43.0 MBytes   361 Mbits/sec
[  1] 77.0000-78.0000 sec  38.9 MBytes   326 Mbits/sec
[  1] 78.0000-79.0000 sec  1.77 MBytes  14.8 Mbits/sec
[  1] 79.0000-80.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 80.0000-81.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 81.0000-82.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 82.0000-83.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 83.0000-84.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 84.0000-85.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 85.0000-86.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 86.0000-87.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 87.0000-88.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 88.0000-89.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 89.0000-90.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 90.0000-91.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 91.0000-92.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 92.0000-93.0000 sec   384 KBytes  3.15 Mbits/sec
[  1] 93.0000-94.0000 sec   125 KBytes  1.02 Mbits/sec
[  1] 94.0000-95.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 95.0000-96.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 96.0000-97.0000 sec  32.4 MBytes   272 Mbits/sec
[  1] 97.0000-98.0000 sec  52.8 MBytes   442 Mbits/sec
[  1] 98.0000-99.0000 sec  52.9 MBytes   444 Mbits/sec
[  1] 99.0000-100.0000 sec  52.6 MBytes   441 Mbits/sec
[  1] 100.0000-101.0000 sec  52.8 MBytes   442 Mbits/sec
[  1] 101.0000-102.0000 sec  52.6 MBytes   441 Mbits/sec
[  1] 102.0000-103.0000 sec  53.0 MBytes   445 Mbits/sec
[  1] 103.0000-104.0000 sec  53.1 MBytes   446 Mbits/sec
[  1] 104.0000-105.0000 sec  52.8 MBytes   442 Mbits/sec
[  1] 105.0000-106.0000 sec  53.0 MBytes   445 Mbits/sec
[  1] 106.0000-107.0000 sec  53.0 MBytes   445 Mbits/sec
[  1] 107.0000-108.0000 sec  53.5 MBytes   449 Mbits/sec
[  1] 108.0000-109.0000 sec  49.8 MBytes   417 Mbits/sec
[  1] 109.0000-110.0000 sec  53.2 MBytes   447 Mbits/sec
[  1] 110.0000-111.0000 sec  52.6 MBytes   441 Mbits/sec
[  1] 111.0000-112.0000 sec  53.0 MBytes   445 Mbits/sec
[  1] 112.0000-113.0000 sec  50.5 MBytes   424 Mbits/sec
[  1] 113.0000-114.0000 sec  53.1 MBytes   446 Mbits/sec
[  1] 114.0000-115.0000 sec  53.5 MBytes   449 Mbits/sec
[  1] 115.0000-116.0000 sec  53.2 MBytes   447 Mbits/sec
[  1] 116.0000-117.0000 sec  53.2 MBytes   447 Mbits/sec
[  1] 117.0000-118.0000 sec  50.1 MBytes   420 Mbits/sec
[  1] 118.0000-119.0000 sec  53.1 MBytes   446 Mbits/sec
[  1] 119.0000-120.0000 sec  52.8 MBytes   442 Mbits/sec
[  1] 0.0000-120.1508 sec  4.37 GBytes   313 Mbits/sec
